position_id,bus_id,latitude,longitude,timestamp
1,49,36.826275,10.224488,2026-05-01 00:00:10
2,30,36.805613,10.018699,2026-05-01 00:00:20
3,31,36.813476,10.062797,2026-05-01 00:00:30
4,45,36.781842,10.027759,2026-05-01 00:00:40
5,7,36.783541,10.049331,2026-05-01 00:00:50
6,6,36.702542,10.229261,2026-05-01 00:01:00
7,30,36.851164,10.210559,2026-05-01 00:01:10
8,43,36.834299,10.004173,2026-05-01 00:01:20
9,27,36.749894,10.296341,2026-05-01 00:01:30
10,32,36.880365,10.109403,2026-05-01 00:01:40
11,42,36.897955,10.255824,2026-05-01 00:01:50
12,46,36.753138,10.299155,2026-05-01 00:02:00
13,38,36.761482,10.166275,2026-05-01 00:02:10
14,46,36.885016,10.282649,2026-05-01 00:02:20
15,5,36.795839,10.213405,2026-05-01 00:02:30
16,42,36.708908,10.299172,2026-05-01 00:02:40
17,39,36.710444,10.275562,2026-05-01 00:02:50
18,29,36.842325,10.070746,2026-05-01 00:03:00
19,14,36.70188,10.020516,2026-05-01 00:03:10
20,47,36.826266,10.135396,2026-05-01 00:03:20
21,30,36.733227,10.260845,2026-05-01 00:03:30
22,47,36.884625,10.204759,2026-05-01 00:03:40
23,45,36.793279,10.209378,2026-05-01 00:03:50
24,36,36.897262,10.187224,2026-05-01 00:04:00
25,9,36.796369,10.069781,2026-05-01 00:04:10
26,26,36.756809,10.221217,2026-05-01 00:04:20
27,2,36.861579,10.13808,2026-05-01 00:04:30
28,4,36.80968,10.168647,2026-05-01 00:04:40
29,10,36.832868,10.293978,2026-05-01 00:04:50
30,49,36.832903,10.282919,2026-05-01 00:05:00
31,39,36.873486,10.102066,2026-05-01 00:05:10
32,36,36.839339,10.01343,2026-05-01 00:05:20
33,25,36.756027,10.005957,2026-05-01 00:05:30
34,29,36.868078,10.017358,2026-05-01 00:05:40
35,40,36.725474,10.24258,2026-05-01 00:05:50
36,50,36.743546,10.096643,2026-05-01 00:06:00
37,24,36.73831,10.092302,2026-05-01 00:06:10
38,41,36.732188,10.065582,2026-05-01 00:06:20
39,3,36.881798,10.217465,2026-05-01 00:06:30
40,2,36.778125,10.148245,2026-05-01 00:06:40
41,31,36.769314,10.130658,2026-05-01 00:06:50
42,15,36.72759,10.195382,2026-05-01 00:07:00
43,3,36.751473,10.057339,2026-05-01 00:07:10
44,36,36.762588,10.047339,2026-05-01 00:07:20
45,24,36.815149,10.042449,2026-05-01 00:07:30
46,31,36.840179,10.171322,2026-05-01 00:07:40
47,33,36.72719,10.226573,2026-05-01 00:07:50
48,42,36.703284,10.268325,2026-05-01 00:08:00
49,13,36.708906,10.08382,2026-05-01 00:08:10
50,26,36.757189,10.026926,2026-05-01 00:08:20
51,30,36.813639,10.181422,2026-05-01 00:08:30
52,38,36.844188,10.203117,2026-05-01 00:08:40
53,49,36.79168,10.282303,2026-05-01 00:08:50
54,37,36.740858,10.144634,2026-05-01 00:09:00
55,23,36.795476,10.240257,2026-05-01 00:09:10
56,36,36.758273,10.108648,2026-05-01 00:09:20
57,18,36.783441,10.151847,2026-05-01 00:09:30
58,26,36.889036,10.067146,2026-05-01 00:09:40
59,21,36.870738,10.045558,2026-05-01 00:09:50
60,43,36.771876,10.246205,2026-05-01 00:10:00
61,17,36.790733,10.27458,2026-05-01 00:10:10
62,22,36.84528,10.288467,2026-05-01 00:10:20
63,50,36.850913,10.283166,2026-05-01 00:10:30
64,9,36.784598,10.003501,2026-05-01 00:10:40
65,28,36.758791,10.259904,2026-05-01 00:10:50
66,16,36.795206,10.13619,2026-05-01 00:11:00
67,47,36.722126,10.102511,2026-05-01 00:11:10
68,34,36.790439,10.033763,2026-05-01 00:11:20
69,38,36.896862,10.282612,2026-05-01 00:11:30
70,47,36.700813,10.198521,2026-05-01 00:11:40
71,32,36.846391,10.225362,2026-05-01 00:11:50
72,39,36.803022,10.167563,2026-05-01 00:12:00
73,31,36.745155,10.096656,2026-05-01 00:12:10
74,6,36.887348,10.276755,2026-05-01 00:12:20
75,1,36.721632,10.089407,2026-05-01 00:12:30
76,3,36.83308,10.117819,2026-05-01 00:12:40
77,6,36.838047,10.034411,2026-05-01 00:12:50
78,50,36.81882,10.125813,2026-05-01 00:13:00
79,48,36.706009,10.079893,2026-05-01 00:13:10
80,11,36.789599,10.108261,2026-05-01 00:13:20
81,24,36.796097,10.056404,2026-05-01 00:13:30
82,16,36.717108,10.208294,2026-05-01 00:13:40
83,17,36.872808,10.007061,2026-05-01 00:13:50
84,34,36.758243,10.200852,2026-05-01 00:14:00
85,2,36.788496,10.225652,2026-05-01 00:14:10
86,21,36.82474,10.038651,2026-05-01 00:14:20
87,44,36.854454,10.009449,2026-05-01 00:14:30
88,46,36.7045,10.001232,2026-05-01 00:14:40
89,42,36.887252,10.031891,2026-05-01 00:14:50
90,32,36.78808,10.08564,2026-05-01 00:15:00
91,40,36.84767,10.015843,2026-05-01 00:15:10
92,40,36.711199,10.130331,2026-05-01 00:15:20
93,41,36.882799,10.272047,2026-05-01 00:15:30
94,45,36.751894,10.2072,2026-05-01 00:15:40
95,33,36.882535,10.050287,2026-05-01 00:15:50
96,20,36.766286,10.099511,2026-05-01 00:16:00
97,49,36.826215,10.244517,2026-05-01 00:16:10
98,40,36.858814,10.288361,2026-05-01 00:16:20
99,2,36.776496,10.236888,2026-05-01 00:16:30
100,39,36.76631,10.140152,2026-05-01 00:16:40
101,44,36.745609,10.220481,2026-05-01 00:16:50
102,29,36.86242,10.160361,2026-05-01 00:17:00
103,5,36.809677,10.021872,2026-05-01 00:17:10
104,22,36.877643,10.117492,2026-05-01 00:17:20
105,23,36.796917,10.270452,2026-05-01 00:17:30
106,1,36.811354,10.142805,2026-05-01 00:17:40
107,15,36.708542,10.036258,2026-05-01 00:17:50
108,14,36.841163,10.279018,2026-05-01 00:18:00
109,26,36.784068,10.00039,2026-05-01 00:18:10
110,22,36.804307,10.246871,2026-05-01 00:18:20
111,20,36.864541,10.296052,2026-05-01 00:18:30
112,5,36.740004,10.095988,2026-05-01 00:18:40
113,44,36.816448,10.282659,2026-05-01 00:18:50
114,9,36.80446,10.083312,2026-05-01 00:19:00
115,3,36.744346,10.021853,2026-05-01 00:19:10
116,17,36.815169,10.073425,2026-05-01 00:19:20
117,31,36.708291,10.17666,2026-05-01 00:19:30
118,14,36.77335,10.293525,2026-05-01 00:19:40
119,36,36.810292,10.024464,2026-05-01 00:19:50
120,1,36.815923,10.205758,2026-05-01 00:20:00
121,37,36.840261,10.285832,2026-05-01 00:20:10
122,34,36.850647,10.00177,2026-05-01 00:20:20
123,9,36.768869,10.01506,2026-05-01 00:20:30
124,4,36.718476,10.048456,2026-05-01 00:20:40
125,25,36.879749,10.256394,2026-05-01 00:20:50
126,29,36.859174,10.21588,2026-05-01 00:21:00
127,24,36.717713,10.297811,2026-05-01 00:21:10
128,8,36.787339,10.183472,2026-05-01 00:21:20
129,45,36.734113,10.270419,2026-05-01 00:21:30
130,1,36.790143,10.031112,2026-05-01 00:21:40
131,50,36.793607,10.043623,2026-05-01 00:21:50
132,33,36.887858,10.293331,2026-05-01 00:22:00
133,26,36.795107,10.170041,2026-05-01 00:22:10
134,10,36.718608,10.041722,2026-05-01 00:22:20
135,25,36.757421,10.162554,2026-05-01 00:22:30
136,1,36.800481,10.163825,2026-05-01 00:22:40
137,21,36.889098,10.048322,2026-05-01 00:22:50
138,23,36.759765,10.219478,2026-05-01 00:23:00
